Фамилия,Имя,Отчество,email,Телефон,Пол,id
Фролова,Ираида,Борисовна,marfa_01@example.com,+7 136 036 48 83,ж,record_1
Комарова,Элеонора,Даниловна,alina_1975@example.net,+7 351 456 6024,ж,record_2
Евсеев,Павел,Аркадьевич,galina31@example.com,+74036676747,м,record_3
Кириллов,Рюрик,Геннадьевич,epifanmaslov@example.org,+7 758 988 84 45,м,record_4
Гущин,Кир,Владимирович,timofe2010@example.net,8 (632) 999-0763,м,record_5
Селезнев,Федот,Константинович,izot_15@example.org,+7 827 642 99 65,м,record_6
Алексеева,Жанна,Ярославовна,beljaevanatalja@example.org,+7 826 769 03 69,ж,record_7
Белозеров,Ефим,Евгеньевич,sitnikovtihon@example.net,89542206894,м,record_8
Ершов,Антип,Олегович,kulaginelise@example.org,+75214686853,м,record_9
Сафонова,Лора,Вячеславовна,jdmitrieva@example.org,8 (751) 921-0733,ж,record_10
