Фамилия,Имя,Отчество,email,Телефон,Пол,id
Фролова,Ираидр,Борисовна,marfa_01@example.com,+7 136 036 48 83,ж,record_1_v
Комарова,Эшеонора,Даниловна,alina_197h@exampqe.net,+7 551 456 6024,ж,record_2_v
Евссеев,Пщвел,Аркадьевич,galina31@example.com,+74036675747,м,record_3_v
Кириллов,Рююрик,Геннадьевич,eoifanmaslov@expmple.org,+7 758 988884 45,м,record_4_v
Ефремов,Никифор,Владимирович,timofe2010@example.net,8 (638) 999-0763,м,record_5_v
Селезневв,Фудот,Константиинович,ilot_15@example.org,+7 827 642 99 66,м,record_6_v
Алексееева,Жаннна,Ярославовна,beljaivanatalja@example.org,+6 826 769 03 69,ж,record_7_v
Белозерров,Есим,Евгеньевич,sitnikovtihon@example.net,89542206890,м,record_8_v
Ершчв,Антип,Олегувич,kulaginnelise@example.org,+75214688853,м,record_9_v
Смфонова,Лоца,Вячеславовка,jdmmitrieva@example.org,8 3751) 921-0733,ж,record_10_v
